,ID,Tweets,clean_tweets,Social,Historical,Dehumanization,Accusation,Attack,Threat,Loyalty,severity,speech_category
10,1.5833E+18,"Tertawa Aku termehek memehek emangnya Doi Hakim, ya begitulah kalau sudah menjadi kadrun langsung pikirannya sempit ha ha ha sampai jontor itu bacot terap saja Pak Joko Widodo Presiden RI ke 7 tetap Berjaya Rakyat Indonesia tercinta sich pendukung setianya MERDEKA. https://t.co/kbTE46GAWq",termehek memehek do i hakim kadrun pikir sempit jontor banyak bicara terap joko widodo presiden ri jaya rakyat indonesia ter cinta dukung setia,0,0,1,0,0,0,0,0.065,abusive language
11,1.58328E+18,"Ibu ini kasihan, otaknya dibikin salah berpikir akibat kadrun yg buta hukum tapi sok pintar Hukum Perdata sangat beda hukum Acaranya MERDEKA. https://t.co/OefEAijdVf",kasihan otak bikin salah pikir akibat kadrun buta hukum sok pintar hukum perdata beda hukum,0,0,1,0,0,0,0,0.065,abusive language
12,1.58291E+18,"Ha ha ha gabenar sekarang masih bakal calon, belum ada kata terlambat cabut lagi itu dukungan kasihan nanti Rakyat Indonesia tercinta MERDEKA .https://t.co/YDaV5iB12c",calon lambat pergi dukung kasihan rakyat indonesia ter cinta,1,0,0,0,0,0,0,0.335,neutral speech
13,1.58255E+18,"Ini namanya kegoblokkan kok dipelihara, malu dong tong kosong cempreng bunyinya ha ha ha kalau jadikadrun ya begini jadi sama gobloknya Pak Joko Widodo Presiden RI kok difitnah yg ada Rakyat Indonesia makin mencintai Pak JOKOWIMERDEKA.https://t.co/X0Zs9y1yCm",nama goblok pelihara malu tong kosong cempreng bunyi kadrun bodoh joko widodo presiden ri fitnah rakyat indonesia men cinta jokowi,0,0,1,0,0,0,0,0.065,abusive language
14,1.58252E+18,"Pak Joko Widodo Presiden RI ke 7 yg sangat dicintai Rakyatnya tidak usah datang, mereka hanya cari panggung tdk mengerti beracara dalam Hukum  Perdata MERDEKA .https://t.co/Sfb8NK1QaF",joko widodo presiden ri cinta rakyat cari panggung erti acara hukum perdata,0,0,0,1,0,0,0,0.23,abusive language
15,1.58237E+18,kadrun yg pakai Kaca Mata Kuda tetap saja gabenar the best ha ha ha MERDEKA.https://t.co/4BRX0vlUXt,kadrun pakai kaca mata kuda best,0,0,1,0,0,0,0,0.065,abusive language
16,1.58194E+18,"Sudah j e l a s kan, tolong pendukung gabenar kadrun asal  Ngebacot m a l u kan MERDEKA. https://t.co/8tMUQKj1bS",j e l a s dukung kadrun ngebacot a l,0,0,1,0,0,0,0,0.065,abusive language
17,1.58193E+18,"Kembali Kejalan yg Benar, Maturnuwun Pak Heru PJ Gubernur yang baru tadi pagi dilantik dgn niat yg sangat mulia Suara Rakyat Suara Tuhan Bravo Bpk Joko Widodo Presiden RI ke 7 Mas JOKOWI menugaskan Tokoh utk DKI PJ Gubernur yg sangat tepat MERDEKAhttps://t.co/CJTWotxHAQ",jalan maturnuwun heru pj gubernur pagi lantik niat mulia rakyat bravo joko widodo presiden ri jokowi tugas tokoh dki pj gubernur,1,0,0,0,0,0,0,0.335,neutral speech
18,1.58164E+18,Ini baru lawakan utk pendukung kadrun ha ha ha lucu banget MERDEKA.https://t.co/HNJlem3s9p,lawak dukung kadrun lucu,0,0,1,0,0,0,0,0.065,abusive language
19,1.58144E+18,"Kalau masih ngotot bertahan dikoalisi, ini yg namanya muka Badak dan Aku mohon Pak Joko Widodo Yg diCintai Rakyatnya harus cepat mengambil sikap karena mereka sudah tdk punya rasa malu eh dianggapnya goblok tolol dungu bego Kita semuanya MERDEKA.https://t.co/FywuvWSnf0",ngotot tahan koalisi nama muka badak mohon joko widodo cinta rakyat cepat sikap malu anggap bodoh tolol dungu bego,1,0,1,1,0,0,0,0.63,dangerous speech
20,1.58124E+18,kadrun ini masih pesong/gila masuk lagi Rumah Sakit Jiwa Grogol MERDEKA. https://t.co/mQtfJlgDMh,kadrun pesong gila masuk rumah sakit jiwa grogol,0,0,1,0,0,0,0,0.065,abusive language
21,1.58084E+18,Aku juga sangat setujuuuuu tangkap dan borgol kadrun ini sudah benar2 melanggar hukum di Negara Indonesia terCinta yg ber Ideologi Pancasila MERDEKA.https://t.co/IhaajG8o4o,setujuuuuu tangkap borgol kadrun langgar hukum negara indonesia ter cinta ber ideologi pancasila,1,0,1,0,0,0,0,0.4,hate speech
22,1.58081E+18,"Sabar ya duduk diboncengan ?, percayalah Presiden Indonesia ke 7 Bpk Joko Widodo sangat Arif dan Bijaksana akan menutuskannya, Hormati Presiden yg memiliki Hak sepenuhnya utk Penyegaran Kabinetnya MERDEKA .https://t.co/Wf1eJRp3KA",sabar duduk bonceng percaya presiden indonesia joko widodo arif bijaksana menutuskannya hormat presiden milik hak segar kabinet,1,0,0,0,0,0,0,0.335,neutral speech
23,1.58081E+18,"Pak Joko Widodo Presiden RI ke 7 yg sangat diCintai Rakyatnya kecuali kadrun, Maju terusssssss menuju Indonesia MajuIndonesia Raya MERDEKA. https://t.co/VgSOHtLOuG",joko widodo presiden ri cinta rakyat kadrun maju indonesia maju indonesia raya,1,0,0,0,0,0,0,0.335,neutral speech
24,1.58081E+18,"Ha ha ha ini pendukung gabenar kadrun stresssss yg sudah pesong/gila, harus segera dirujukkan ke Rumah Sakit Jiwa  Grogol MERDEKA .https://t.co/HbDq4Dt4tT",dukung kadrun stres pesong gila rujuk rumah sakit jiwa grogol,0,0,1,0,0,0,0,0.065,abusive language
25,1.5808E+18,"Siapa yg bisa menerima kelakuan gabenar seperti ini kecualikadrun, ngeri kale rasa malunya sudah tdk ada ya sudah mari Kita Berdoa biar Tuhan yg bekerja MERDEKA .https://t.co/Mcj7YBI1uR",terima laku kadrun ngeri kakak malu berdo a,0,0,1,0,0,0,0,0.065,abusive language
26,1.58064E+18,"Makin hanyut &amp; akhirnya tenggelam si gabenar, baru diundang makan siang saja PJ Gubernur DKI Bpk Heru dgn sedikit bicara eh langsung yg taunya hanya bercakap cakap dgn merangkai kata tdk tau apa yg dikerjakan selain nyengirkadrun sich MERDEKA. https://t.co/zr9LTS2O1l",hanyut tenggelam undang makan siang pj gubernur dki heru bicara unya cakap cakap rangkai nyengir kadrun,0,0,1,0,0,0,0,0.065,abusive language
27,1.58045E+18,"Hey pendukung kadrun masih tdk ada malunya, apa sudah tak punya rasa malu terusssssss memfitnah Pak Joko Widodo Presiden RI ke 7 yg sangat dicintai Rakyatnya MERDEKA. https://t.co/IU1iri8ygK",hai dukung kadrun malu malu fitnah joko widodo presiden ri cinta rakyat,1,0,1,1,0,0,0,0.63,dangerous speech
28,1.58045E+18,"Setelah berjilid jilid demo dan tdk didukung Rakyat Indonesiatercinta, Ormas Buruh yg Ketua Umumnya Kadrun mengancam mau demo lage 10 November ha ha ha jualannya nggak laku nie ye mau diletakkan kemana itu muka badaknya MERDEKA.",jilid jilid demo dukung rakyat indonesia cinta ormas buruh ketua kadrun ancam demo ge november jual laku letak muka badak,1,1,1,0,0,0,0,0.565,dangerous speech
29,1.58037E+18,"@songohan141 Ha ha ha kadrun marah nie ye, tolol sich Wassalam.",kadrun marah tolol wassalam,0,0,1,0,0,0,0,0.065,abusive language
30,1.58036E+18,"Ha ha ha masih saja pendukungnya memakai Kaca Mata Kuda melihat kerja gabenar yg Amburadul, bahkan kader yg parpolnya mendukung jadi Bakal Calon Presidenpun ikut ngerasanin sangat pedas siap2 saja sebentar lagi pakai Seragam Oranye/Borgol MERDEKA .https://t.co/UfoYQNeV2N",dukung pakai kaca mata kuda kerja amburadul kader parpolnya dukung calon presiden ngerasanin pedas sebentar pakai seragam oranye borgol,1,0,1,1,0,0,0,0.63,dangerous speech
31,1.58011E+18,"Masih saja gabenar ngeles, nggak malu apa memang nggak punya rasa malu lagi ya tunggu saja pakai rompi orange dan diborgol Save KPK MERDEKA. https://t.co/FcVRxaSZzz",kilah malu malu tunggu pakai rompi orange borgol save kpk,0,0,0,1,0,0,0,0.23,abusive language
32,1.58007E+18,kadrun terusssssss saja memfitnah ha ha ha Pak Joko Widodo 2 Priode Presiden RI ke 7 yg sangat dicintai Rakyat Indonesia terCinta MERDEKA. https://t.co/WsIyDfqOdU,kadrun fitnah joko widodo periode presiden ri cinta rakyat indonesia ter cinta,1,0,1,0,0,0,0,0.4,hate speech
33,1.58007E+18,"Ha ha ha makin banyak yg sakit jiwa/pesong penjual agama tapi tolong jgn dibiarkan, sangat berbahaya para Pengadilan Domba yg otaknya pas2an kadrun sich MERDEKA . https://t.co/YOQTLtuqhG",sakit jiwa pesong jual agama biar bahaya adil domba otak an kadrun,1,0,1,0,0,0,0,0.4,hate speech
34,1.57974E+18,Ngeri kale ya tdk terbayang apa yg terjadi kalau mereka2 kadrun berkuasa di Republik Indonesia terCinta pening Aku Tanteeeeeee ya modar MERDEKA.https://t.co/OjjjMKGtHV,ngeri kakak bayang kadrun kuasa republik indonesia ter cinta pening tanteeeeeee modar,0,0,1,0,0,1,0,0.13,hate speech
35,1.57974E+18,"Betul 100 utk Ustadz jadi bukan kemungkinan besar, itu pasti terjadi Waspada waspada waspadalah kadrun sich ngeri kale MERDEKA. https://t.co/kSplMoqAUU",ustadz waspada waspada waspada kadrun ngeri kakak,0,0,1,0,0,0,0,0.065,abusive language
36,1.57973E+18,"Yg memfitnah Presiden RI ke 7 Bpk Joko Widodo bukan Alumni UGM, perlu diketahui mereka hanya Badut2 Demokrasi yg cari panggung dan dilihat dari tutur katanya dan raut mukanya jelas orang pesong/gila ha ha ha MERDEKA. https://t.co/qwpTDbPLL4",fitnah presiden ri joko widodo alumni ugm badut demokrasi cari panggung raut muka pesong gila,1,0,1,1,0,0,0,0.63,dangerous speech
37,1.57966E+18,"@abu_waras Ha ha ha terlambat sudah, telmi sich kadrun ya siapa lagi kalau bukan kalian telat mikir cari pembenaran Shalom.",lambat telat pikir kadrun lambat mikir cari benar,0,0,1,1,0,0,0,0.295,hate speech
38,1.57965E+18,@Predator_4848 Ha ha ha ini Indonesia terCinta mimpi kale ye kok Yaman yg jadi Presiden RI MERDEKA.,indonesia ter cinta mimpi kakak yaman presiden ri,1,0,0,0,0,0,0,0.335,neutral speech
39,1.57965E+18,"Aku hanya bisa tertawa termehek mehek tapi ingat Kita harus tetap Waspada walaupun ada pepatah Keledai saja tdk masuk 2 X dalam lubang yg sama, Kita Manusia yg Cerdas Ciptaan Tuhan MERDEKA. https://t.co/0nbCd1UNoP",termehek mehek waspada pepatah keledai masuk x lubang manusia cerdas cipta,0,0,0,0,0,1,0,0.065,hate speech
40,1.57827E+18,@AdiputraRr eh anjingKu terkaing kaing dicomberan Shalom.,anjing ku kaing kaing comberan,0,0,1,0,0,0,0,0.065,abusive language
41,1.57793E+18,"Yg lucu2 ditengah Jakarta diguyur hujan, banjir lage nie ye gabenar kemana ?MERDEKA.https://t.co/QJ1VLsnd6D",lucu tengah jakarta guyur hujan banjir ge,1,0,0,0,0,0,0,0.335,neutral speech
42,1.57791E+18,"Memang Lidah tak bertulang, jadi orang tdk bermoral ya suka2nya b o h o n g ha ha ha memalukan kalau masih punya rasa malu! MERDEKA.https://t.co/vBicUGWkvy",lidah tulang moral suka b o h o g malu malu,0,0,0,1,0,0,0,0.23,abusive language
43,1.57778E+18,"@Catatan_ali7 Ha ha ha karma, kalian dulu yg hina eh sekarang ini yg namanya Senjata makan Tuan siapa Tuanya ya kadrun dungu kok dipelihara MERDEKA.",karma hina nama senjata makan tuan tua kadrun dungu pelihara,0,0,1,0,0,0,0,0.065,abusive language
44,1.57768E+18,"Benar nie ?, tertawa Aku termehek mehek kadrun gitu lho MERDEKA. https://t.co/SjRR6A4Dcc",termehek mehek kadrun lho,0,0,1,0,0,0,0,0.065,abusive language
45,1.57767E+18,"Ini ada pepatahnya, kacang lupa sama kulit ha ha ha kadrun sich MERDEKA.https://t.co/3MvyKQZEnA",pepatah kacang lupa kulit kadrun,0,0,1,0,0,0,1,0.175,hate speech
46,1.57755E+18,"@OposisiCerdas Ha ha ha kok heran kale karena yg mau diusut gabenar yg nyapreskadrun sich, tertawa Aku termehek mehek lucu banget MERDEKA.",heran kakak usut nyapres kadrun termehek mehek lucu,1,0,1,0,0,0,0,0.4,hate speech
47,1.57686E+18,Ini orang lagi kumur2 mulutnya bau banget sudah pesong/gila kale mulut comberan sichkadrun oon MERDEKA. https://t.co/gtZopw8afI,kumur mulut pesong gila kakak mulut comberan kadrun oon,0,0,1,0,0,0,0,0.065,abusive language
48,1.57662E+18,"Selama tdk siap menang apalagi tdk siap kalah, tragedi apapun baik Sepak Bola dan olahraga lainnya tentunya juga Pesta Demokrasi kerusuhan akan terjadi pasti Rakyat Indonesiatercinta yg tdk berdosa akhirnya menjadi Korban tolong Waspada waspada waspadalah MERDEKA",menang kalah tragedi apa sepak bola olahraga pesta demokrasi rusuh rakyat indonesia cinta dosa korban waspada waspada waspada,0,1,0,0,0,0,0,0.165,neutral speech
49,1.57644E+18,Tuhan Kami Rakyat Indonesia tercinta Sangat Berduka dgn Tragedi Kanjuruhan tolong diberikan ketabahan bagi Keluarga yg ditinggalkan MERDEKA.,rakyat indonesia cinta duka tragedi kanjuruhan tabah keluarga tinggal,0,1,0,0,0,0,0,0.165,neutral speech
50,1.57566E+18,Tuhan tolong kirim lagi Presiden RI ke 8 yg beti  beda tipis dgn Bpk Joko Widodo Presiden RI ke 7 Paten MERDEKA .https://t.co/QETRjzDoGe,kirim presiden ri beda tipis beda tipis joko widodo presiden ri paten,1,0,0,0,0,0,0,0.335,neutral speech
51,1.57566E+18,"Ha ha ha 100 bagi yg menampilkan pernyataan ini di twitter, Rakyat Indonesiatercinta yg cerdas2 semuanya termehek mehek melihat kelakuan kadrun dgn otaknya yg pas2an MERDEKA. https://t.co/kyqQAepYVO",tampil nyata twitter rakyat indonesia cinta cerdas termehek mehek laku kadrun otak an,0,0,1,0,0,0,0,0.065,abusive language
52,1.57566E+18,Ini lagi rombongan orang2 pesong/gila menjelang Pemilu ha ha ha Rakyat Indonesia tercinta sekarang cerdas2 semuanya tdk bisa di kompori lage MERDEKA.https://t.co/u92Spo91Ig,rombong pesong gila jelang milu rakyat indonesia cinta cerdas kompor ge,0,0,1,0,0,0,0,0.065,abusive language
53,1.57551E+18,@restyca_yah Ha ha ha curi start kampanye tdk perlu pakai nomor urut kadrun sich Sip deh.,curi start kampanye pakai nomor urut kadrun,1,0,1,1,0,0,0,0.63,dangerous speech
54,1.5755E+18,"Ha ha ha gimana nie belum Pemilu sudah pada pesong/gila, Rumah Sakit Jiwa Grogol sebentar lagi nggak bisa menerima pasien sudah kepenuhan MERDEKA.https://t.co/9O7hKAe1im",milu pesong gila rumah sakit jiwa grogol sebentar terima pasien penuh,1,0,1,0,0,0,0,0.4,hate speech
55,1.57538E+18,"@HamimHamim20 Ha ha ha PDI Perjuangan dilawan, yg ada kau makin pesong/gila tertawa Aku termehek mehek MERDEKA.",pdi juang lawan pesong gila termehek mehek,0,0,1,0,0,0,0,0.065,abusive language
56,1.57493E+18,Hey para pendemo BBM yg berjilid jilid seperti Film RAMBO tapi tdk ada satupun Rakyat Indonesiatercinta yg mendukung kecuali kadrun yg otaknya pas2an malu dong lihat Adik Pelajar di Sulteng ini menyambut Presidennyatercinta Bpk jOKOWI MERDEKA https://t.co/18bcJcLKuE,hai demo bbm jilid jilid film rambo rakyat indonesia cinta dukung kadrun otak an malu lihat adik ajar sulteng sambut presiden cinta jokowi,0,0,1,0,0,0,0,0.065,abusive language
57,1.57493E+18,@Nada10062503 kerja dulu baru ngebacot dgn congor yg bau apek ha ha hakadrun sich MERDEKA.,kerja ngebacot mulut apek kadrun,0,0,1,0,0,0,0,0.065,abusive language
58,1.57493E+18,"Makin hancur partai yg pernah Aku dan Kawan2 Besarkan dgn Alm Pak Hadi Utomo Ketua Umum Partai Demokrat, dan mereka2 ini tdk pernah Aku lihat batang hidungnya waktu Aku masih di PD MERDEKAhttps://t.co/1v2mE1qskr",hancur partai kawan besar alm had utomo ketua partai demokrat lihat batang hidung,0,0,0,0,0,1,0,0.065,hate speech
59,1.57466E+18,"Masih pesong/gila masuk lage Rumah Sakit Jiwa Grogol ha ha ha, Maju terusssssss PDI Perjuangan bersama Rakyat Indonesiatercinta Ketua Umum dan Presiden RI ke 5 Ibu Megawati Soekarnoputri  menuju Indonesia Raya MERDEKA.https://t.co/PvLnyXTCRL",pesong gila masuk ge rumah sakit jiwa grogol maju pdi juang rakyat indonesia cinta ketua presiden ri megawati soekarnoputri indonesia raya,0,0,1,0,0,0,0,0.065,abusive language
60,1.5743E+18,@Rydi64106934 Ha ha ha Sitolol ini makin stresssss saja hati2 bisa pesong/gila MERDEKA.,sitolol stres hati pesong gila,0,0,1,0,0,0,0,0.065,abusive language
61,1.5743E+18,"@lintaspolitik Ha ha ha Siapapun yg berkuasa di Republik ini, Aku ikut punya andil sebelum berkuasa menjadi Pemimpin kacian deh orang2 tolol ikut2an berpolitik hati2 ya sebentar lagi pada pesong/gila karena frustasi MERDEKA.",kuasa republik andil kuasa pimpin kakak tolol an politik hati sebentar pesong gila frustasi,0,0,1,0,0,0,0,0.065,abusive language
62,1.57248E+18,"Ha ha ha seru kale dikampungKu itu dikatakan, Maling teriak Maling  ich  malu nie ye MERDEKA .https://t.co/kuzGsxIst2",seru kakak kampung ku maling teriak maling ich malu,0,0,0,1,0,0,0,0.23,abusive language
63,1.57089E+18,"Bedanya Pemimpin yg disayangidicintai Rakyatnya 2 tahun berapa bulan kok cepat banget akan selesai, beda dgnkadrun tinggal menghitung hari pertengahan oktober kok lama banget selesainya MERDEKA .thttps://twitter.com/Mi9aWempy/status/1570745819049103360/video/1",beda pimpin sayang cinta rakyat cepat selesai beda kadrun hitung tengah oktober selesai thttpurl,0,0,1,0,0,0,0,0.065,abusive language
64,1.57069E+18,"Baru sadar nie ha ha ha, demokan karena ditunggangi kadru dan barisan sakit hati bukan karena  Kekuatan Moral MERDEKA. https://t.co/G8lNdzhBKG",sadar demo tunggang kadru baris sakit hati kuat moral,0,0,1,0,0,0,0,0.065,abusive language
65,1.57068E+18,Negara yg Ideloginya Pancasila semestinyakadrun sadar Lex Specialist MERDEKA. https://t.co/yUc4mWqBvz,negara ideloginya pancasila kadrun sadar lex specialist,0,0,1,0,0,0,0,0.065,abusive language
66,1.57068E+18,"@Furqanjurdi1 Ha ha ha jelas tdk setuju, siapa kau ? paling pendukung kadrun dan barisan sakit hati yg makin sesat MERDEKA.",tuju dukung kadrun baris sakit hati sesat,0,0,1,0,0,0,0,0.065,abusive language
67,1.57059E+18,"@Xtreme_guns Keledai tdk mau masuk 2 kali dalam lubang yg sama, apa lagi Mamusia Ciptaan Tuhan yg paling sempurna dan ingat DKI menang karena SARA Ujaran kebencian Fitnah Teror kadrun mimpi kale ye MERDEKA.",keledai masuk lubang mamusia cipta sempurna dki menang sara ujar benci fitnah teror kadrun mimpi kakak,1,0,1,0,0,0,0,0.4,hate speech
68,1.57005E+18,"Ha ha ha kadrun nggak ada malunya tong kosong cempreng bunyinya, modalnya congor yg bau busuk ngebacot ngompori  Rakyat Indonesiatercinta yg sekarang pada cerdas semuanya diera Reformasi MERDEKA. https://t.co/a1xLP9lEd6",kadrun malu tong kosong cempreng bunyi modal mulut busuk ngebacot ngompori rakyat indonesia cinta cerdas era reformasi,0,1,1,0,0,0,0,0.23,hate speech
69,1.56966E+18,@Tan_Mar3M Ha ha ha anjing ini terkaing dicomberan tan_mar3m Shalom.,anjing kaing comberan tan mar,0,0,1,0,0,0,0,0.065,abusive language
70,1.56955E+18,"Ha ha ha hidup sudah keenakan eh sok mau berjuang bawa bawa Rakyat, ingat Rakyat Indonesiatercinta cerdas2 semuanya nggak bisa di kadal gurunkan lage MERDEKA.https://t.co/5u9TyXmsrI",enak sok juang bawa bawa rakyat rakyat indonesia cinta cerdas kadal gurun ge,0,0,1,0,0,0,0,0.065,abusive language
71,1.56951E+18,@ferrykoto Ha ha ha kalau Kader Kami berbuat salah pasti lawan2politik mendukung biar partai Kami Rusak Waspada waspada waspadalah MERDEKA.,kader buat salah lawan politik dukung partai rusak waspada waspada waspada,0,0,0,1,0,0,0,0.23,abusive language
72,1.56932E+18,Ha ha ha ini kadrun kumur2 apa sich lucu banget tertawa Aku termehek mehek MERDEKA.https://t.co/oUP01uGbGD,kadrun kumur lucu termehek mehek,0,0,1,0,0,0,0,0.065,abusive language
73,1.56927E+18,Ha ha ha ini Polisi dan Pendemo yg cerdas cepat kembali kejalan yg benar ingat Kita semua bersaudara tdk ada yg kadrun MERDEKA.https://t.co/2fz8LGzQFv,polisi demo cerdas cepat jalan saudara kadrun,0,0,1,0,0,0,0,0.065,abusive language
74,1.56927E+18,"Kenapa ada yg laporkan ?, itu acara wajar saja dimanapun sering terjadi rasa hormat Anggota DPR RI utk Ketua DPR RI tepat hari ulang tahun ada Sidang Paripurna demo diluar menolak kenaikan BBM juga Kita hormati di Negara Indonesia yg mengkedepankan Demokrasi MERDEKA. https://t.co/RW64qTsjfY",lapor wajar mana hormat anggota dpr ri ketua dpr ri ulang sidang paripurna demo luar tolak naik bbm hormat negara indonesia mengkedepankan demokrasi,1,0,0,0,0,0,0,0.335,neutral speech
75,1.56917E+18,"Susah ya menebak siapa bjorka ha ha ha, bjorka itu ya kadrun yg pengecut gitu saja kok repot MERDEKA.",susah tebak bjorka bjorka kadrun kecut repot,0,0,1,0,0,0,0,0.065,abusive language
76,1.56917E+18,@kr1t1kp3d45_pro Ha ha hakadrun makin gila Presiden RI ke 7 Bpk Joko Widodo yg terusssssss bekerja utk Rakyat Indonesiatercinta dilawan Shalom MERDEKA.,kadrun gila presiden ri joko widodo rakyat indonesia cinta lawan,1,0,1,0,0,0,0,0.4,hate speech
77,1.56877E+18,"Masihkah pantas menjadi Capres ? rumput yg bergoyang juga tdk setuju, yg setuju hanya kadrun MERDEKA.https://t.co/a0h21KikRU",capres rumput goyang tuju tuju kadrun,1,0,1,0,0,0,0,0.4,hate speech
78,1.56876E+18,"Beginilah kalau kadrun jadi ketua ormas, eh sekarang mendirikan partai politik pula pasti otaknya bertentangan dgn Ideologi Pancasila Waspada waspada waspadalah MERDEKA. https://t.co/ghdUz0UTI5",kadrun ketua ormas diri partai politik otak tentang ideologi pancasila waspada waspada waspada,1,0,1,0,0,0,0,0.4,hate speech
79,1.56853E+18,"@CutSarina5 Eh ada anjing terkaing kaing dicomberan cutsarina, marah nie ye Wassalam.",anjing kaing kaing comberan cutsarina marah wassalam,0,0,1,0,0,0,0,0.065,abusive language
80,1.56853E+18,"Ini propecor sudah bocor ha ha ha emangnya Rakyat diera Orde Baru bisa diprovokasi, sekarang Era Reformasi Rakyat Indonesiatercinta sekarang cerdas semua walaupun demo berjilid jilid seperti Film Rambo mereka bahkan melempari pendemo MERDEKA. https://t.co/kzBfE4HL6e",propecor bocor rakyat era orde provokasi era reformasi rakyat indonesia cinta cerdas demo jilid jilid film rambo lempari demo,1,1,0,0,0,0,0,0.5,neutral speech
81,1.56852E+18,@Dennysiregar7 koruptor yg disayang kadrun lagi semua ha ha ha bebas nie ye ngeri kale dan lucunya pendukungnya belagak bego pula semuanya tertawa Aku termehek mehek  lucu ya MERDEKA.,denny siregar koruptor sayang kadrun bebas ngeri kakak lucu dukung bagak bego termehek mehek lucu,1,0,1,1,0,0,0,0.63,dangerous speech
82,1.56847E+18,"@iskandar__fauzi Bu Sri Mulyani dilawan, ya terlihat makin tolol saja kau kadrun ha ha ha Wassalam..",sri mulyani lawan tolol kadrun wassalam,0,0,1,0,0,0,0,0.065,abusive language
83,1.56845E+18,"Apa gabenar masih belum ngaca ha ha ha, kadrun sich masih saja muka Badak mau nyapres MERDEKA. https://t.co/wquH1bL1od",ngaca kadrun muka badak nyapres,0,0,1,0,0,0,0,0.065,abusive language
84,1.56845E+18,@kr1t1kp3d45_pro ngapain disiarkan ha ha ha kadrun makin tolol saja MERDEKA.,sedang apa siar kadrun tolol,0,0,1,0,0,0,0,0.065,abusive language
