,tweets,cluster
39,hai dukung kadrun malu malu fitnah joko widodo presiden ri cinta rakyat,5
40,jilid jilid demo dukung rakyat indonesia cinta ormas buruh ketua kadrun ancam demo ge november jual laku letak muka badak,10
41,kadrun marah tolol wassalam,7
42,termehek mehek ketua partai dukung why not best sebahagian kader kabuuuuuuur,19
43,dukung pakai kaca mata kuda kerja amburadul kader parpolnya dukung calon presiden ngerasanin pedas sebentar pakai seragam oranye borgol,17
44,kilah malu malu tunggu pakai rompi orange borgol save kpk,17
45,silah lihat rekam jejak termehek mehek do i mimpi kakak,19
46,kadrun fitnah joko widodo periode presiden ri cinta rakyat indonesia ter cinta,5
47,sakit jiwa pesong jual agama biar bahaya adil domba otak an kadrun,15
48,terima kasih jelas sukses nu hati rakyat indonesia ter cinta,10
49,terima kasih dato uda ajo sadar jalan sukses wassalam,3
50,ngeri kakak bayang kadrun kuasa republik indonesia ter cinta pening tanteeeeeee modar,10
51,ustadz waspada waspada waspada kadrun ngeri kakak,0
52,fitnah presiden ri joko widodo alumni ugm badut demokrasi cari panggung raut muka pesong gila,16
53,lambat telat pikir kadrun lambat mikir cari benar,17
54,indonesia ter cinta mimpi kakak yaman presiden ri,12
55,termehek mehek waspada pepatah keledai masuk x lubang manusia cerdas cipta,19
56,bicara mudah kumur alam petir musim hujan serasa sambar geledek jaga banyak bicara,17
57,kakak isi otak sendok kopi pohon kencang angin tiup atas joko widodo presiden ri pohon akar rakyat indonesia ter cinta,5
58,ku bela ku lindung ku lindung bela umat jalan jalan amin,3
59,anjing ku kaing kaing comberan,4
60,lucu tengah jakarta guyur hujan banjir ge,17
61,lidah tulang moral suka b o h o g malu malu,17
62,karma hina nama senjata makan tuan tua kadrun dungu pelihara,17
63,termehek mehek kadrun lho,19
64,pepatah kacang lupa kulit kadrun,17
65,heran kakak usut nyapres kadrun termehek mehek lucu,19
66,benteng ideologi negara indonesia ter cinta tni ulang jaya maju semangat sapta marga sumpah prajurit,10
67,dirgahayu tni rakyat rakyat indonesia ter cinta,10
68,republik indonesia ter cinta bawa jabat gubenur dki dprd dki usut tuntas waspada waspada waspada,0
69,terima kasih kpk jadi hukum panglima kuasa panglima selamat koruptor berondok sembunyi belakang tu tu,18
70,best termehek mehek baik mane teropong achhh gelap,19
71,ichhh ngeri kakak ojo kesusu lanjur hormat,17
72,rambut hitam hati waspada waspada waspada,0
73,kumur mulut pesong gila kakak mulut comberan kadrun oon,16
74,menang kalah tragedi apa sepak bola olahraga pesta demokrasi rusuh rakyat indonesia cinta dosa korban waspada waspada waspada,0
75,rakyat indonesia cinta duka tragedi kanjuruhan tabah keluarga tinggal,10
76,kirim presiden ri beda tipis beda tipis joko widodo presiden ri paten,5
77,tampil nyata twitter rakyat indonesia cinta cerdas termehek mehek laku kadrun otak an,19
78,rombong pesong gila jelang milu rakyat indonesia cinta cerdas kompor ge,16
79,mimpi kakak lucu wassalam,12
80,curi start kampanye pakai nomor urut kadrun,17
81,milu pesong gila rumah sakit jiwa grogol sebentar terima pasien penuh,16
82,rektor ngeri kakak rektor pakai ngancam salut polisi aman dan tertib masyarakat tegar sukses polisi,17
83,pdi juang lawan pesong gila termehek mehek,19
84,nasib partai besar kawan alm had utomo ketua partai demokrat anggota dpr mpr ri lorot lanjut,3
85,hai demo bbm jilid jilid film rambo rakyat indonesia cinta dukung kadrun otak an malu lihat adik ajar sulteng sambut presiden cinta jokowi,10
86,kerja ngebacot mulut apek kadrun,6
87,hancur partai kawan besar alm had utomo ketua partai demokrat lihat batang hidung,3
88,percaya aa sakit cerdas dikit amat idola rakyat indonesia cinta dungu,10
89,pesong gila masuk ge rumah sakit jiwa grogol maju pdi juang rakyat indonesia cinta ketua presiden ri megawati soekarnoputri indonesia raya,14
90,megawati soekarnoputri ketua pdi juang presiden ri kepala daerah jaga perilaku tuju abdi negara layan masyarakat daerah,14
91,sitolol stres hati pesong gila,16
92,kuasa republik andil kuasa pimpin kakak tolol an politik hati sebentar pesong gila frustasi,16
93,ded sahabat ku kritik nama ku singgung susah beken,3
94,he he he termehek mehek,19
95,h a l panjang manusia penuh dusta ngebacot mulut rakyat indonesia cinta setia dukung pdi juang mega soekarnoputri ketua presiden ri,14
96,sibotak ancol mulut banyak bicara lihat jalan thamrin jalan sudirman lihat jakarta ngeri kakak,17
97,sigagap komentar bodoh rakyat indonesia cinta bola salju bulat dukung pdi juang,14
98,deklarator partai demokrat gusti ora sareh tutup fakta paten,3
99,nyalon mulut manis kembang gula hati kena diabetes sakit gula,17
100,seru kakak kampung ku maling teriak maling ich malu,17
101,tokoh pemuda batak toko sepatu toko termos toko besi kakak,17
102,ngeri kakak nggaklah yaaaaaaa ho ho ho ho ho,17
103,sahabat ku abu ganteng paten,3
104,joko widodo presiden ri maju indonesia cinta indonesia maju,5
105,rakyat indonesia cinta ekonomi teladan hati berkat komandan,10
106,beda pimpin sayang cinta rakyat cepat selesai beda kadrun hitung tengah oktober selesai thttpurl,17
107,sadar demo tunggang kadru baris sakit hati kuat moral,15
108,negara ideloginya pancasila kadrun sadar lex specialist,17
109,lizal lamli stres sebental pesong lucu,16
110,tuju dukung kadrun baris sakit hati sesat,15
111,kreeeeeeen rakyat indonesia cinta cinta joko widodo presiden ri kadrun gelintir baris sakit hati,15
112,keledai masuk lubang mamusia cipta sempurna dki menang sara ujar benci fitnah teror kadrun mimpi kakak,9
113,hai demo naik bgn silah demo hak demokrasi coba jatuh presiden ri joko widodo cinta rakyat indonesia cinta jokowi rakyat indonesia rakyat indonesia jokowi,10
114,termehek mehek do i sadar presiden capres hilang malu kasihan perintah lanjut nyata konyol,19
115,kadrun malu tong kosong cempreng bunyi modal mulut busuk ngebacot ngompori rakyat indonesia cinta cerdas era reformasi,10
116,lucu tahu kampung ku tua gereja pakai peci kampung ku songkok repot peci lekat ku,3
117,anjing kaing comberan tan mar,4
118,enak sok juang bawa bawa rakyat rakyat indonesia cinta cerdas kadal gurun ge,10
119,pikir jaga ideologi pancasila negara indonesia cinta,10
120,kader buat salah lawan politik dukung partai rusak waspada waspada waspada,0
121,urus lihat do i hina joko widodo kader pdi juang presiden ri media sosial erti diam ngebacot,14
122,kadrun kumur lucu termehek mehek,19
123,cepat af sombong atas langit langit keluarga tni marah,17
124,silah lihat episode terima kasih poltak warga aceh publica podcast,3
125,dukung protokol sehat indonesia cinta dunia sukses covid maturnuwun joko widodo presiden ri jajar,5
126,polisi demo cerdas cepat jalan saudara kadrun,17
127,lapor wajar mana hormat anggota dpr ri ketua dpr ri ulang sidang paripurna demo luar tolak naik bbm hormat negara indonesia mengkedepankan demokrasi,17
128,jenderal tni purn hendro priyono dukung penuh rakyat indonesia cinta cerdas era reformasi kompor,10
129,effendi simbolon cepat af mulut harimau,17
130,susah tebak bjorka bjorka kadrun kecut repot,17
131,kadrun gila presiden ri joko widodo rakyat indonesia cinta lawan,5
132,capres rumput goyang tuju tuju kadrun,17
133,kadrun ketua ormas diri partai politik otak tentang ideologi pancasila waspada waspada waspada,0
134,anjing kaing kaing comberan cutsarina marah wassalam,4
135,erti fifa jakpro aku malu,17
136,propecor bocor rakyat era orde provokasi era reformasi rakyat indonesia cinta cerdas demo jilid jilid film rambo lempari demo,10
137,denny siregar koruptor sayang kadrun bebas ngeri kakak lucu dukung bagak bego termehek mehek lucu,19
138,lizal lamli dengar dengar dukung tolol wassalam,7
139,sri mulyani lawan tolol kadrun wassalam,7
140,ngaca kadrun muka badak nyapres,17
141,sedang apa siar kadrun tolol,7
142,kadrun marah pakai kaca mata kuda wassalam,17
143,jambar banjir jakarta barat terima kasih sebentar ganti do a jabat gubernur lanjut joko widodo ahok djarot jabat gubernur dki,3
144,hormat rakyat indonesia cinta menteri agama rasa departemen agama agama aku legal indonesia berkat amin,10
145,hasil indonesia era pimpin presiden ri hasil joko widodo rakyat indonesia ngerasaninnya kadrun simpatisan ruwat e simbolon,5
146,sedia salur pirsa setia kompas tv nikmat ulang kompas tv mohon bantu,17
147,malu demo demo lawan sorga telapak kaki campusmu tunggu tri dharma guru,17
148,jenderal tni luhut binsar pandjaitan menko maritim investasi o siompong mulut unya ngebacot mauliate,11
149,malu termehek mehek cuplik film sunting joko widodo presiden ri iriana negara ri senyum lepas sewot ngebacot,19
150,kawasan kota tua hasil karya jelang lengser pening tanteee,17
151,presiden ri lawan gila kadrun,16
152,ompong sok jago gigi palsu pasang modal ngebacot honor,17
153,anjing ku jajatpedro kaing kaing comberan nuhun wassalam,4
154,marah tolol kadrun lucu termehek mehek harmonika,19
155,kutip twit renung ideologi indonesia cinta pancasila,10
156,beban gerung gerung fakta capres kadrun ngebacot mulut malu malu,17
157,rakyat indonesia cinta rasa naik bbm pahit obat sabar sehat negara indonesia joko widodo presiden keras pks teriak tuju,5
158,ambisius cita gagal mantri menteri presiden ri joko widiodo malu malu kadrun,5
159,ambisius cita mantri menteri gagal kadrun,17
160,kuping ku lengkap berkat ku kristus,3
161,suda hak demokrasi tuju naik bbm demo salur hati panas kepala dingin sibuk percaya putus ambil presiden ri indonesia maju,17
162,model manusia gagal menteri joko widodo presiden ri cinta rakyat frustasi malu bus kota larang dahulu,5
163,lihat episode publica podcast paten,17
164,capres bicara uas dukung sewot sewot do i wassalam,17
165,marah tolol kadrun ge wassalam,7
166,kadrun joko widodo presiden ri mundur sakit masuk rs wassalam,15
167,tolol iwan bicara uas sewot do i bujur,7
168,uas rumah halal capres fakta,17
169,sebahagian rakyat indonesia cinta erti perintah joko widodo presiden ri naik harga bbm provokasi demo kadrun,5
170,lonceng mati bunyi panggil besok kpk formula e kembang kadrun mulut ngebacot gusti boten sareh,17
171,harga bbm hati panas kepala dingin,17
172,denny siregar nonton film sayap sayap patah paten,17
173,titip kadrun kiamat dunia wassalam,17
174,usaha presiden taxi bubar lowong supir,12
175,karma menang sara ujar benci fitnah teror suka udel bangun serah kadrun rasainlah akibat pj gubernur dki gusti boten sareh maturnuwun,9
176,maju sukses pdi juang indonesia raya paten,14
177,gerung gerung paham demokrasi dasar dukung kadrun berani joko widodo presiden ri paham dasar raja dungu,5
178,arah doktor hasto kristiyanto sekjen pdi juang kader simpatisan rakyat indonesia cinta laksana indonesia raya,14
179,siaaaaaaap jabat selesai ngomongnya henti henti gubernur provinsi ganti jabat selesai jabat gagal paham,17
180,denny siregar sukses film sayap sayap patah polisi masuk dalam lindung rakyat indonesia cinta keringat darah air mata nyawa merah putih bravo,10
181,ojo kesusu kadrun bakar kumis preeeeeeet,17
182,menang hati rakyat indonesia cinta profesional ahli disiplin kerja keras ajar percaya sosok profesional paten,6
183,termehek mehek kerja kerja kerja indonesia raya sadar rakyat reformasi cerdas provokasi,6
184,dengar baik provokasi kerja kerja kerja indonesia raya paten,6
185,mantap ganjar pranowo pesong gila julang pilpres kadrun paten,16
186,ngeri kakak malu balik fakta sejarah hati era reformasi rakyat indonesia cinta cerdas ribohongin,10
187,jenderal pol tito menteri negeri rapat pimpin nasional kumpul juang bravo maju indonesia cinta indonesia raya paten,10
188,lihat seruuuuuuu adik ku podcastnya poltak raja minyak publica podcast,17
189,tonton dengar baik salah bicara tanggung ahli agama hukum menkopolhukam,18
190,indonesia cinta hormat istri damping setia,10
191,suda duduk bonceng angin sorga pilpres prabowo mimpi nol malu syukur prabowo gabung joko widodo presiden ri menteri tahan,23
192,dadak sok pintar polisi sambo istri libat ngebacot suka menghinah jenderal pol tito menteri negeri jenderal pol l sigit p kapolri,17
193,dukung marah bukti marah malu malu nyengir,17
194,kapolri jenderal pol l sigit prabowo henti arah presiden ri joko widodo f sambo istri dan kawan libat buka terang benderang laksana percaya pikir positif,5
195,termehek mehek malu malu,19
196,ikut setia lawan monica sir rambut rontok ge coba lawan,17
197,proses hukum sambo istri libat dlm jalan hormat indonesia cinta negara hukum henti salah polisi sbg aman dan tertib masyarakat hormat kerja keras polisi ungkap terang benderang,18
198,lucu lucu termehek mehek banyak ngundang raja dungu gerung gerung dungu pening tanteeeeeee,19
199,mantap merinding dengar bahasa inggeris rusia jepang china bahasa dunia bahasa leluhur suka aku indonesia jasa nenek moyang dengar,17
200,sahabat ku nonton youtube channel publican podcast adik ku iskandar sitompul sitompul sitompul jalan hidup episode seru sipoltak kuli angkut,3
201,terang benderang goreng lapor tong kosong cempreng bunyi proses hukum fitnah tanggung jawab,18
202,lurus salah selidik sidik balik wassalam,17
203,pimpin munafik maju indonesia cinta bravo,10
204,elektabilitas ganjar nonton bareng denny siregar kadrun bakar jenggot paten,17
205,marah monica gundul goreng kadrun tolol,7
206,monica gundul siaseng serang agama belah kadrun tunggu,17
207,gundul tik bahagia gilir artis sewot,17
208,ganteng kadrun ganteng rambut rontok gundul monica,17
209,anjing kaing kaing comberan,4
210,patah tumbuh hilang ganti arti mudah cerna maksud regenerasi gamblang sukses adik ku kreeeeeeen berkat,3
211,keringat darah air mata nyawa korban pahlawan merdeka hening indonesia raya,17
212,presiden ri joko widodo maju indonesia raya,5
213,hai kepala botak malu tolol nyata kadrun monica gundul,7
214,prabowo menteri tahan layak bintang hormat presiden ri pangti joko widodo selamat sukses percaya pangkat jenderal tni kopassus purn bintang paten,5
215,termehek lawan politik babi fitnah kadrun ngeri kakak,19
216,nama senjata makan tuan main sara tuan maju sara ujar benci fitnah teror takut kadrun tolol cain,9
217,rakyat indonesia cinta hukum rakyat bantu prodeo dana kantor lbh provinsi kabupaten kota jasa lawyer dongkrak popularitas,10
218,tuduh kadrun tolol azwarsrg,7
219,nyata presiden ri joko widodo kader pdi juang goreng ngebacot rakyat indonesia cinta cerdas,14
220,luhut binsar pandjaitan menko maritim investasi biar benci keteter sanggup saing kerja keras dhadapan joko widodo presiden ri kadrun tolol pesong gila lbp lawan,11
221,produk biotek farmasi indonesia produk baik dunia produk anak bangsa milik efikasi obat preskripsi solusi komprehensif minat silah klik link,17
222,kadrun kompak ngeri kakak bus kota larang mwndahului paten,17
223,baca komentar ngebacot kadrun tolol,7
224,lucu lucu rambut gundul termehek mehek,19
225,ikut setia lengkap rambut gundul tumbuh monika,17
226,anjing betinoku monica comberan kadrun,20
227,anjing ku a fadlun kadrun tolol,7
228,indah indonesia cinta ideologi pancasila kaya budaya suku lestari,10
229,manusia malu kadrun aku gatot gagal total nyapres modal ludes uang setan makan hantu,17
230,argumentasi super dungu ekor jepit pintu kalah perang kalah lanjut,1
231,manusia telat pikir lambat mikir,17
232,takut omdo omong sok cari panggung kadrun unya nyinyir ngebacot malu,17
233,rakyat bodoh presidenya rakyat indonesi cinta dukung turun kadrun,10
234,gibran walikota solo bukti siubed bukti omdo omong maklum cari popularitas murah kadrun,17
235,anjing ku siedi g tolol rendam comberan bujur,20
236,level beda tipis beda tipis laku do i kaya bujur,17
237,enak sukses kaya raya dialakukan suka,2
238,lanjut lapor ngelapor sakit,15
239,tolol ngebandingkan presiden level bodoh banget bujur,7
240,bangun indonesia cinta indonesia raya,10
241,sakit juta motor gerak mimpi kakak kerja kerja kerja indonesia maju,6
242,kerja kerja kerja nyinyir ngebacot,6
243,iq jongkok bodoh bujur,17
244,kader pdi juang tegak lurus atas ketua pdi juang megawati soekarnoputri siaaaaaaap aman,14
245,petrodes mega keliduan malu ku tenggara aku papua unya gonggong lanjut lapor omdo omong nebeng beken raja minyak,22
246,keluarga ku bangga lawan puluh kadrun tolol,7
247,anjing tolol kaing kaing comberan emhariyanto kadrun pintar,4
248,sigagap politik tolol banget,7
249,dhe dhen tolol anjing masuk comberan ge mane gelok nuhun,17
250,malu havis akbar anjing tolol tuduh salah masuk menang menang pilpres legislatif kadrun menang jabat muka badak,17
251,ubah anjing ku edi g comberan bujur,20
252,fakta milu presiden legislatif menang,17
253,nama keta uan tolol kakak kadrun wassalam,7
254,hebat gila demo juta monas kadrun ngegeraki ach takuuuuuuut,16
255,lho ngakunya djokya asli nasib ku bohong ngeri kakak,17
256,anjing ku kaing kaing comberan,4
257,sitolol marah kadrun pe wassalam,17
258,pengaruh kadrun kerja tiada men jual agama,17
259,kadrun nyambung cerita karno proklamator tolol,7
260,sirakus jabat mulut dukung kadrun menang berkat,17
261,mantap joko widodo presiden ri maju indonesia cinta paten,5
262,kadrun super tolol nyebar gosip murah,7
263,baik jawa asli kadrun aku suku indonesia asli,17
264,kadrun tolol jasa ku prodeo ngebayar fee milyard repot,17
265,tolol lucu act tipu jama ahnya kadrun bodoh ngebelah act tipu borgol penjara wassalam,17
266,mane gelok tu anjing comberan nuhun wassalam,20
267,anjing ku berisik kaing kaing comberan wassalam,4
268,peran ku berdo a ku buka terang benderang,3
269,ramai laku oknum polisi sabar arah joko widodo presiden ri tuntas terang benderang percaya kapolri jenderal polisi listyo sigit prabowo terang benderang tutup tutup,17
270,marah lucu berani laku repot,17
271,adi marz tolol marah berani lucu,7
272,kadrun belah act lucu korban ikut pikir bicara sembarang,17
273,pesong gila masyarakat kadrun kutil otak kakak ahok hinah ngaca,16
274,miskin nilai sukses kakak,17
275,level menghinah ahok ngaca,17
276,miskin mikirin komisaris dukung kadrun menang rakus jabat,17
277,jokowi joko widodo negarawannya luhut b pandjaitan ajak tim sukses periode periode singgung senyum sahabat,11
278,anjing comberan komentar mekar satria tahu tolol joko widodo dukung presiden ri,5
279,bodoh kakak antaz semangat juang,17
280,umat islam sakit kader pdi juang mayoritas umat islam nasionalis,14
281,anjing ku syawal ll kutil otak cebur comberan,20
282,ari pepes anak tolol ngatain sukses logika,7
283,coba balik fakta ngeri kakak menang sara ujar benci fitnah teror kadrun bohong malu malu ge,9
284,coba balik fakta menang sara ujar benci fitnah teror malu malu,9
285,dukung kadrun menang dukung jabat ngeri kakak,17
286,level anjing aldo paibo,17
287,aduuuuuuuh partai demokrat partai besar urut milu legislatif masuk urut milu legislatif dalam tinggal sedih,3
288,rendah tolol kakak oceph periode joko widodo dipecaya tim sukses beda kadrun kalah,1
289,pening tante omdo omong sakit rumah sehat jelang milu belanda,17
290,maju indonesia cinta indonesia maju indonesia raya maturnuwun sekretaris jenderal pdi juang dr hasto kristiyanto,10
291,anjing stres comberan sukses banyu milie,20
292,anjing kaing kaing comberan kadrun tolol followersnya upil,4
293,gus followers an banyak bicara level,17
294,mengtik twit tolol sok pintar,7
295,anjing ku aldopaibo kejar bayang comberan,20
296,anjing ku aldopaibo comberan,20
297,kelas kambing ngerasani kelas kakap tolol kakak harvendhe,7
298,kadrun sanggup bayar tolol kakak monica,7
299,jokowi joko widodo dua singgung presiden fakta percaya seru bicara dua istana negara malam,5
300,gila maling teriak maling dasar bodoh azirdtksati,17
301,dengar sukses indonesia cinta,10
302,sewot ku af bukti urus sedang apa campur,17
303,hut komentar biar kadrun komentar ajar tonton,17
304,anjing ku pesong gila comberan lucu lucu hazbyihsany,16
305,ngetwit tan mar anjing ku kaing kaing comberan,4
306,meme bikin termehek mehek mata rakyat indonesia cinta belalak indentitas pribadi kabur malu,19
307,tonton baik prabowo negarawan hormat indonesia cinta jaya paten,10
308,anjing ku anbastian novri kaing kaing comberan,4
309,tolol x komentar kerja resiko resiko kerja ganti nama wassalam,6
310,anjing bel ajat gonggong,20
311,caci maki anjing comberan percaya rakyat cinta pilpres milu,20
312,anjing ku monica kakak kaing kaing dingin comberan,4
313,anjing ku praja muda to comberan,20
314,ketik meme rakyat indonesia cinta termehek mehek paten,19
315,fakta survei capres ri beda dukung unya sara ujar benci fitnah teror kadrun,9
316,anjing telat pikir lambat mikir iqnya jongkok,17
317,malu anjing kaing kaing comberan,4
318,hinah anak ku christian anjing kurap kecut pesong gila kadrun iq jongkok menghinah ku mental tarung kalah argumen oon bujur,16
319,anjing gila ku sansan gila poltak lawan cain gila baca twitt dimedsos mental tarung,16
320,meriang isnandar bikin pesong gila wassalam,16
321,anjing nuruni level ku,3
322,gaul anjing nama aldo paibo bangun harimau tidur,17
323,aldo paibo anjing kurus ku makan tulang melulu,17
324,tolol gagal ngerasanin sukses kaya raya kalempong,2
325,janji dukung sara ujar benci finah teror sadar tipu habis an muntah dukung wassalam,9
326,tolol kadrun pesong gila dukung moga strokeeeeeee poltak lawan,16
327,dukung kadrun menang rakus jabat tolong,17
328,anjing ku aldo paibo kaing kaing comberan,4
329,make up apa ganteng kadrun pesong gila,16
330,situa bangka pintar hidung tokoh percaya rakyat pimpin indonesia cinta ngaca ar malu tanah kadrun,10
331,termehek mehek ngetwit kadrun stres mendo jaga sakit takut strokeeeeeee,19
332,level sakit jiwa kakak ngeladeni,15
333,terima kasih make up kadrun ganteng,3
334,gila masuk rs jiwa grogol lucu lucu termehek mehek salah rumah sakit rumah sakit sembuh sakit rumah sehat ngaco sehat masuk rumah sehat sakit pesong gila,15
335,ikut setia lawan usir pamdal dpr ri dasar kadrun muka tembok malu,17
336,apa make up kadrun ganteng,17
337,lambat cepat pancasila ideologi negara indonesia cinta paten,10
338,main keroyok takut usir aman ku gedung dpr ri poltak lawan pesong gila,16
339,sembunyi menang cundang ngaca,17
340,urus kader daerah ninggalin ngebacot campur kerja presiden ri joko widodo cinta rakyat paten,5
341,termehek mehek bangkit lubang kubur ngeri kakak wassalam,19
342,sitolol ngerasanin sukses kaya raya followersnya terang benderang,2
343,poltak lho hati stroke poltak lawan laut,17
344,sansan muka b b cari sampah kerja kadrun,6
345,poltak lawan laut anjing ku aldo p,3
346,kirain kadrun beda tipis beda tipis lucu lucu termehek mehek maturnuwun,19
347,ahli menang sara ujar benci fitnah teror presiden ri capres susah dukung sibuk jungkir belah kerja amburadul,9
348,presiden ri joko widodo mantap jelas paten kadrun pening tanteeeeeee,5
349,setia mantap teladan rakyat indonesia cinta beda kadrun kutil otak paten,10
350,presiden ri joko widodo kadrun bakar jenggot paten,5
351,termehek mehek susah belah kerja amburadul ngerjainnya,19
352,sabar selidik polisi bukti langgar hukum tingkat sidik kadrun dekdekkan jantung paten,18
353,ikut setia takut tolol itu kantor dpr ri usir telat pikir lambat mikir iq jongkok,17
354,simuka b b lambat mikir telat pikir sansan iq jongkok,17
355,anjing ku aldo p gonggong balas marah dasar kadron tolol,20
356,bela act dasar kadrun apeng act proses hukum hukum mati,18
357,san san lihat muka jelek b b ganteng coba tunjuk malu,17
358,anjing ku gonggong comberan kadrun tolol,20
359,anjing kaing kaing comberan kadrun tolol super,4
360,pilih kepala daerah menang sara ujar benci fitnah teror nama super rasis bodoh marah wassalam,9
361,terang benderang dukung polisi aman dan tertib masyarakat laksana tugas maju bhayangkara bhayangkari sejati cinta rakyat indonesia,10
362,bangkit lawan termehek mehek lucu aduh lucu kadrun marah ach takut ngeri x,19
363,firdlan super tolol kadrun,7
364,pesong gila sansan kadrun wassalam,16
365,ngatain ngaca kadrun tolol termehek mehek,19
366,termehek mehek profesional rakyat,19
367,tolol jatah kadrun dukung kalah malu jatah beda kaya raya,2
368,modal tolol jual akhirat wassalam,7
369,fakta sukses kaya raya makan siang kirim alamat,2
370,alamat suruh pegawai ku kirim tega lihat,17
371,makan siang susah sok rasanin sukses ngaca,17
372,libur labu bajo keluarga mikir siang makan,17
373,afchako kader ku proses hukum hukum mati paten,18
374,langgar hukum proses hukum hukum berat apeng atc rakyat umat korban kebiadapan hukum mati paten,18
375,maling apeng pintar maling act unya apeng act proses hukum vonis berat hukum mati paten,18
376,nora kaya raya followersnya juta,2
377,marah tahu jeroan kadrun kadrun wassalam,17
378,kadrun sewot sangka atc tahan sewot atmnya stooooooop tahu paten,17
379,marah tolol kadrun lho,7
380,ukan milik simpatisan kadrun waspada waspada waspada,0
381,act sangka tahan polisi sewot kadrun langgar hukum tahan ancam hukum atas bravo polisi indonesia cinta paten,18
382,menang sara ujar benci fitnah teror tolol abu ismail dasar kadrun telat pikir lambat mikir,9
383,sangka act tahan khawatir hilang alat bukti terima kasih polisi indonesia cinta paten,10
384,ko poltak lawan rekan jejak kadrun sara ujar benci fitnah teror jijik ngaca nyinyir ngebacot malu cain libas bakar jenggot paten,9
385,sitolol komentar kadrun wassalam,17
386,anjing ku anton joely stres comberan wassalam,20
387,anjing ku amien xkw rakus jabat dukung kadrun kalah,1
388,pakai baju binatang apa ganteng tampang b b tega tik,17
389,sitolol pesong gila kalah disosmed ngajak rantam modal urat otak dasar kadrun tolol yakuza otak encer itang makantaik,16
390,pakai nama yakusa mental harimau mental jangkrik,17
391,itang makatita anjing ku comberan dingin,20
392,lucu lidah potong ngomongnya gagap kalempong panca lanjut wassalam,17
393,kasihan mundur ganti sigagap tolol ge lanjut wassalam,7
394,jokowi bohong ronavioleta tolol capres repot pakai bohong jokya asli maturnuwun wassalam,17
395,gila kenal undang tolol kadrun wassalam,16
396,hulk selluhijau anjing kakak kaing kaing comberan kadrun wassalam,4
397,anjing ku sigagap panca kaing kaing comberan lanjut wassalam,4
